league,season,team,player,nation,pos,age,born,90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_PK,Standard_PKatt
ENG-Premier League,2324,Tottenham Hotspur,Pedro Porro,ESP,DF,23,1999,34.3,3,53,12,22.6,1.54,0.35,0.06,0.25,0,0
ENG-Premier League,2324,Tottenham Hotspur,Pierre Højbjerg,DEN,MF,27,1995,14.6,0,19,6,31.6,1.3,0.41,0.0,0.0,0,0
ENG-Premier League,2324,Tottenham Hotspur,Radu Drăgușin,ROU,DF,21,2002,4.8,0,1,0,0.0,0.21,0.0,0.0,,0,0
ENG-Premier League,2324,Tottenham Hotspur,Richarlison,BRA,"FW,MF",26,1997,16.6,11,61,25,41.0,3.68,1.51,0.18,0.44,0,0
ENG-Premier League,2324,Tottenham Hotspur,Rodrigo Bentancur,URU,MF,26,1997,11.2,1,18,5,27.8,1.61,0.45,0.06,0.2,0,0
ENG-Premier League,2324,Tottenham Hotspur,Son Heung-min,KOR,"FW,MF",31,1992,32.6,17,85,40,47.1,2.61,1.23,0.18,0.38,2,2
ENG-Premier League,2324,Tottenham Hotspur,Timo Werner,GER,"MF,FW",27,1996,9.0,2,29,7,24.1,3.23,0.78,0.07,0.29,0,0
ENG-Premier League,2324,Tottenham Hotspur,Yves Bissouma,MLI,MF,26,1996,23.0,0,24,5,20.8,1.04,0.22,0.0,0.0,0,0
ENG-Premier League,2324,West Ham United,Aaron Cresswell,ENG,DF,33,1989,4.8,0,0,0,,0.0,0.0,,,0,0
ENG-Premier League,2324,West Ham United,Alphonse Areola,FRA,GK,30,1993,30.0,0,0,0,,0.0,0.0,,,0,0
ENG-Premier League,2324,West Ham United,Angelo Ogbonna,ITA,DF,35,1988,7.1,0,1,0,0.0,0.14,0.0,0.0,,0,0
ENG-Premier League,2324,West Ham United,Ben Johnson,ENG,"MF,DF",23,2000,6.0,0,6,2,33.3,0.99,0.33,0.0,0.0,0,0
ENG-Premier League,2324,West Ham United,Danny Ings,ENG,"FW,MF",31,1992,4.5,1,12,4,33.3,2.67,0.89,0.08,0.25,0,0
ENG-Premier League,2324,West Ham United,Divin Mubama,ENG,FW,18,2004,0.9,0,1,0,0.0,1.13,0.0,0.0,,0,0
ENG-Premier League,2324,West Ham United,Edson Álvarez,MEX,MF,25,1997,26.4,1,17,3,17.6,0.64,0.11,0.06,0.33,0,0
ENG-Premier League,2324,West Ham United,Emerson Palmieri,ITA,DF,28,1994,34.9,1,19,4,21.1,0.55,0.11,0.05,0.25,0,0
ENG-Premier League,2324,West Ham United,George Earthy,ENG,MF,18,2004,0.4,1,1,1,100.0,2.65,2.65,1.0,1.0,0,0
ENG-Premier League,2324,West Ham United,James Ward-Prowse,ENG,MF,28,1994,33.3,7,44,18,40.9,1.32,0.54,0.11,0.28,2,2
ENG-Premier League,2324,West Ham United,Jarrod Bowen,ENG,"MF,FW",26,1996,33.5,16,85,37,43.5,2.53,1.1,0.19,0.43,0,0
ENG-Premier League,2324,West Ham United,Kaelan Casey,ENG,DF,18,2004,0.0,0,0,0,,0.0,0.0,,,0,0
ENG-Premier League,2324,West Ham United,Kalvin Phillips,ENG,MF,27,1995,3.4,0,3,2,66.7,0.87,0.58,0.0,0.0,0,0
ENG-Premier League,2324,West Ham United,Konstantinos Mavropanos,GRE,DF,25,1997,16.7,1,12,3,25.0,0.72,0.18,0.08,0.33,0,0
ENG-Premier League,2324,West Ham United,Kurt Zouma,FRA,DF,28,1994,31.5,3,16,7,43.8,0.51,0.22,0.19,0.43,0,0
ENG-Premier League,2324,West Ham United,Lucas Paquetá,BRA,MF,25,1997,29.1,4,42,11,26.2,1.44,0.38,0.05,0.18,2,2
ENG-Premier League,2324,West Ham United,Maxwel Cornet,CIV,MF,26,1996,1.2,1,4,1,25.0,3.21,0.8,0.25,1.0,0,0
ENG-Premier League,2324,West Ham United,Michail Antonio,JAM,FW,33,1990,18.8,6,30,14,46.7,1.59,0.74,0.2,0.43,0,0
ENG-Premier League,2324,West Ham United,Mohammed Kudus,GHA,MF,22,2000,27.6,8,67,17,25.4,2.43,0.62,0.12,0.47,0,0
ENG-Premier League,2324,West Ham United,Nayef Aguerd,MAR,DF,27,1996,20.6,1,14,4,28.6,0.68,0.19,0.07,0.25,0,0
ENG-Premier League,2324,West Ham United,Pablo Fornals,ESP,MF,27,1996,4.7,0,7,3,42.9,1.48,0.63,0.0,0.0,0,0
ENG-Premier League,2324,West Ham United,Saïd Benrahma,ALG,MF,27,1995,6.9,0,19,6,31.6,2.76,0.87,0.0,0.0,0,1
ENG-Premier League,2324,West Ham United,Thilo Kehrer,GER,DF,26,1996,0.2,0,0,0,,0.0,0.0,,,0,0
