season,Player Name,direction,club,League,From,Transfer Fee,Nationality,Age,Position
2023-24,Michael Obafemi,arrivals,Burnley,Championship,Swansea City,"£3,520,000",Ireland,22,CF
2023-24,Hannes Delcroix,arrivals,Burnley,Jupiler Pro League,RSC Anderlecht,"£2,640,000",Belgium,24,DC
2023-24,Luca Koleosho,arrivals,Burnley,Segunda Federación - Gr. III,RCD Espanyol B,"£2,640,000",Italy,18,RW
2023-24,Nathan Redmond,arrivals,Burnley,Süper Lig,Besiktas JK,Free transfer,England,29,RW
2023-24,Han-Noah Massengo,arrivals,Burnley,Championship,Bristol City,Free transfer,France,22,DM
2023-24,Lawrence Vigouroux,arrivals,Burnley,League One,Leyton Orient,Free transfer,Chile,29,GK
2023-24,Mike Trésor,arrivals,Burnley,Jupiler Pro League,KRC Genk,loan transfer,Belgium,24,LW
2023-24,Jacob Bruun Larsen,arrivals,Burnley,Bundesliga,TSG 1899 Hoffenheim,loan transfer,Denmark,24,LW
2023-24,Wout Weghorst,arrivals,Burnley,Premier League,Manchester United,Loan,Netherlands,30,CF
2023-24,Scott Twine,arrivals,Burnley,Championship,Hull City,Loan,England,24,AM
2023-24,Luke McNally,arrivals,Burnley,Championship,Stoke City,Loan,Ireland,24,DC
2023-24,Enock Agyei,arrivals,Burnley,Jupiler Pro League,KV Mechelen,Loan,Belgium,18,RW
2023-24,Dara Costelloe,arrivals,Burnley,Premiership,St. Johnstone FC,Loan,Ireland,21,LW
2023-24,Cameron Archer,arrivals,Sheffield United,Premier League,Aston Villa,"£18,964,000",England,21,CF
2023-24,Gustavo Hamer,arrivals,Sheffield United,Championship,Coventry City,"£15,224,000",Netherlands,26,DM
2023-24,Vini Souza,arrivals,Sheffield United,Challenger Pro League,Lommel SK,"£11,000,000",Brazil,24,DM
2023-24,Auston Trusty,arrivals,Sheffield United,Premier League,Arsenal FC,"£5,104,000",United States,24,DC
2023-24,Bénie Traoré,arrivals,Sheffield United,Allsvenskan,BK Häcken,"£4,048,000",Cote d'Ivoire,20,CF
2023-24,Anis Slimane,arrivals,Sheffield United,Superligaen,Bröndby IF,"£2,376,000",Tunisia,22,MC
2023-24,Tom Davies,arrivals,Sheffield United,Premier League,Everton FC,Free transfer,England,25,MC
2023-24,Luke Thomas,arrivals,Sheffield United,Championship,Leicester City,loan transfer,England,22,DL
2023-24,James McAtee,arrivals,Sheffield United,Premier League,Manchester City,loan transfer,England,20,MC
2023-24,Yasser Larouci,arrivals,Sheffield United,Ligue 2,ESTAC Troyes,loan transfer,France,22,DL
