player,team,nation,pos,age,born,league,season,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_PK,Standard_PKatt,Playing Time_MP_playing_time,Playing Time_Min_playing_time,Playing Time_Mn/MP,Playing Time_Min%,Playing Time_90s_playing_time,Starts_Starts,Starts_Mn/Start,Starts_Compl,Subs_Subs,Subs_Mn/Sub,Subs_unSub,Team Success_PPM,Team Success_onG,Team Success_onGA,Team Success_+/-,Team Success_+/-90,Team Success_On-Off,90s_misc,Performance_CrdY_misc,Performance_CrdR_misc,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG
Gabriel Martinelli,Arsenal,BRA,FW,22,2001,ENG-Premier League,2324,35,24,2019,22.4,6,4,10,6,0,0,1,0,0.27,0.18,0.45,0.27,0.45,22.4,6,58,22,37.9,2.59,0.98,0.1,0.27,0,0,35,2019.0,58.0,59.0,22.4,24,74.0,4,11,22.0,0,2.34,52.0,22.0,30.0,1.34,-0.72,22.4,1,0,0,23,24,10,109,4,23,,,0
Jakub Kiwior,Arsenal,POL,DF,23,2000,ENG-Premier League,2324,20,11,946,10.5,1,3,4,1,0,0,1,0,0.1,0.29,0.38,0.1,0.38,10.5,1,6,3,50.0,0.57,0.29,0.17,0.33,0,0,20,946.0,47.0,27.7,10.5,11,80.0,7,9,7.0,18,2.65,39.0,8.0,31.0,2.95,1.82,10.5,1,0,0,10,3,0,12,7,13,,,0
Jorginho,Arsenal,ITA,MF,31,1991,ENG-Premier League,2324,24,10,921,10.2,0,2,2,0,0,0,1,0,0.0,0.2,0.2,0.0,0.2,10.2,0,4,0,0.0,0.39,0.0,0.0,,0,0,24,921.0,38.0,26.9,10.2,10,78.0,3,14,10.0,13,2.42,25.0,11.0,14.0,1.37,-0.36,10.2,1,0,0,9,15,0,3,11,10,,,0
Jurriën Timber,Arsenal,NED,DF,22,2001,ENG-Premier League,2324,2,1,71,0.8,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.8,0,0,0,,0.0,0.0,,,0,0,2,71.0,36.0,2.1,0.8,1,49.0,0,1,22.0,0,3.0,3.0,0.0,3.0,3.8,2.22,0.8,2,0,0,3,0,1,1,0,2,,,0
Kai Havertz,Arsenal,GER,"MF,FW",24,1999,ENG-Premier League,2324,37,30,2634,29.3,13,7,20,12,1,1,11,0,0.44,0.24,0.68,0.41,0.65,29.3,13,69,28,40.6,2.36,0.96,0.17,0.43,1,1,37,2634.0,71.0,77.0,29.3,30,83.0,18,7,19.0,0,2.41,77.0,22.0,55.0,1.88,1.08,29.3,11,0,0,49,44,15,11,18,17,,,0
Leandro Trossard,Arsenal,BEL,"FW,MF",28,1994,ENG-Premier League,2324,34,18,1649,18.3,12,1,13,12,0,0,2,0,0.65,0.05,0.71,0.65,0.71,18.3,12,60,22,36.7,3.27,1.2,0.2,0.55,0,0,34,1649.0,49.0,48.2,18.3,18,72.0,3,16,22.0,3,2.32,45.0,11.0,34.0,1.86,0.43,18.3,2,0,0,15,20,9,57,8,14,,,0
Martin Ødegaard,Arsenal,NOR,MF,24,1998,ENG-Premier League,2324,35,35,3091,34.3,8,10,18,6,2,2,2,0,0.23,0.29,0.52,0.17,0.47,34.3,8,77,23,29.9,2.24,0.67,0.08,0.26,2,2,35,3091.0,88.0,90.4,34.3,35,88.0,22,0,,1,2.37,80.0,23.0,57.0,1.66,0.29,34.3,2,0,0,30,36,3,77,14,18,,,0
Mohamed Elneny,Arsenal,EGY,MF,31,1992,ENG-Premier League,2324,3,0,28,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.3,0,2,1,50.0,6.43,3.21,0.0,0.0,0,0,3,28.0,9.0,0.8,0.3,0,,0,3,9.0,13,3.0,1.0,0.0,1.0,3.21,1.6,0.3,0,0,0,1,0,0,0,1,0,,,0
Oleksandr Zinchenko,Arsenal,UKR,DF,26,1996,ENG-Premier League,2324,27,20,1722,19.1,1,2,3,1,0,0,2,0,0.05,0.1,0.16,0.05,0.16,19.1,1,17,3,17.6,0.89,0.16,0.06,0.33,0,0,27,1722.0,64.0,50.4,19.1,20,79.0,7,7,21.0,5,2.26,38.0,15.0,23.0,1.2,-0.87,19.1,2,0,0,7,9,1,30,19,30,,,0
Reiss Nelson,Arsenal,ENG,FW,23,1999,ENG-Premier League,2324,15,1,268,3.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,3.0,0,4,1,25.0,1.34,0.34,0.0,0.0,0,0,15,268.0,18.0,7.8,3.0,1,74.0,0,14,14.0,15,2.27,10.0,1.0,9.0,3.02,1.51,3.0,1,0,0,5,6,0,14,1,5,,,0
Takehiro Tomiyasu,Arsenal,JPN,DF,24,1998,ENG-Premier League,2324,22,10,1149,12.8,2,1,3,2,0,0,2,1,0.16,0.08,0.23,0.16,0.23,12.8,2,17,3,17.6,1.33,0.23,0.12,0.67,0,0,22,1149.0,52.0,33.6,12.8,10,85.0,7,12,25.0,1,2.41,30.0,10.0,20.0,1.57,-0.1,12.8,2,1,1,14,8,1,14,18,8,,,0
Thomas Partey,Arsenal,GHA,"MF,DF",30,1993,ENG-Premier League,2324,14,9,788,8.8,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,8.8,0,8,2,25.0,0.91,0.23,0.0,0.0,0,0,14,788.0,56.0,23.0,8.8,9,79.0,4,5,16.0,3,2.71,20.0,5.0,15.0,1.71,0.11,8.8,3,0,0,10,6,0,2,10,11,,,0
William Saliba,Arsenal,FRA,DF,22,2001,ENG-Premier League,2324,38,38,3420,38.0,2,1,3,2,0,0,4,0,0.05,0.03,0.08,0.05,0.08,38.0,2,10,4,40.0,0.26,0.11,0.2,0.5,0,0,38,3420.0,90.0,100.0,38.0,38,90.0,38,0,,0,2.34,91.0,29.0,62.0,1.63,,38.0,4,0,0,22,16,0,3,29,26,,,0
Bertrand Traoré,Aston Villa,BFA,"FW,MF",27,1995,ENG-Premier League,2324,2,0,11,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.1,0,0,0,,0.0,0.0,,,0,0,2,11.0,6.0,0.3,0.1,0,,0,2,6.0,6,3.0,0.0,0.0,0.0,0.0,-0.4,0.1,0,0,0,0,0,0,0,0,1,,,0
Boubacar Kamara,Aston Villa,FRA,MF,23,1999,ENG-Premier League,2324,20,20,1652,18.4,0,1,1,0,0,0,7,1,0.0,0.05,0.05,0.0,0.05,18.4,0,5,1,20.0,0.27,0.05,0.0,0.0,0,0,20,1652.0,83.0,48.3,18.4,20,83.0,10,0,,0,2.05,36.0,22.0,14.0,0.76,0.71,18.4,7,1,0,35,29,0,2,20,30,,,0
Calum Chambers,Aston Villa,ENG,MF,28,1995,ENG-Premier League,2324,5,1,152,1.7,0,1,1,0,0,0,1,0,0.0,0.59,0.59,0.0,0.59,1.7,0,0,0,,0.0,0.0,,,0,0,5,152.0,30.0,4.4,1.7,1,67.0,0,4,21.0,26,0.8,3.0,6.0,-3.0,-1.78,-2.27,1.7,1,0,0,3,1,0,0,2,0,,,0
Cameron Archer,Aston Villa,ENG,"FW,MF",22,2001,ENG-Premier League,2324,1,0,6,0.1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.1,0,0,0,,0.0,0.0,,,0,0,1,6.0,6.0,0.2,0.1,0,,0,1,6.0,1,3.0,0.0,0.0,0.0,0.0,-0.4,0.1,1,0,0,1,0,0,0,0,0,,,0
Clément Lenglet,Aston Villa,FRA,DF,28,1995,ENG-Premier League,2324,14,14,1153,12.8,0,1,1,0,0,0,3,0,0.0,0.08,0.08,0.0,0.08,12.8,0,7,2,28.6,0.55,0.16,0.0,0.0,0,0,14,1153.0,82.0,33.7,12.8,14,82.0,11,0,,20,1.29,22.0,27.0,-5.0,-0.39,-1.18,12.8,3,0,0,3,12,0,3,8,9,,,0
Diego Carlos,Aston Villa,BRA,DF,30,1993,ENG-Premier League,2324,27,20,1816,20.2,0,0,0,0,0,0,4,0,0.0,0.0,0.0,0.0,0.0,20.2,0,10,1,10.0,0.5,0.05,0.0,0.0,0,0,27,1816.0,67.0,53.1,20.2,20,86.0,18,7,15.0,5,1.56,35.0,36.0,-1.0,-0.05,-0.95,20.2,4,0,0,26,4,1,1,12,16,,,0
Douglas Luiz,Aston Villa,BRA,MF,25,1998,ENG-Premier League,2324,35,35,2993,33.3,9,5,14,5,4,4,12,0,0.27,0.15,0.42,0.15,0.3,33.3,9,48,17,35.4,1.44,0.51,0.1,0.29,4,4,35,2993.0,86.0,87.5,33.3,35,86.0,26,0,,0,1.69,65.0,57.0,8.0,0.24,-1.23,33.3,12,0,0,51,41,0,116,22,37,,,0
Ezri Konsa,Aston Villa,ENG,DF,25,1997,ENG-Premier League,2324,35,35,3069,34.1,1,0,1,1,0,0,5,0,0.03,0.0,0.03,0.03,0.03,34.1,1,19,5,26.3,0.56,0.15,0.05,0.2,0,0,35,3069.0,88.0,89.7,34.1,35,88.0,30,0,,0,1.77,68.0,54.0,14.0,0.41,0.15,34.1,5,0,0,15,64,0,18,26,33,,,0
Finley Munroe,Aston Villa,ENG,DF,18,2005,ENG-Premier League,2324,1,0,4,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,0.0,0.0,,,0,0,1,4.0,4.0,0.1,0.0,0,,0,1,4.0,2,0.0,0.0,0.0,0.0,0.0,-0.4,0.0,0,0,0,0,0,0,0,0,0,,,0
Jacob Ramsey,Aston Villa,ENG,MF,22,2001,ENG-Premier League,2324,16,8,853,9.5,1,1,2,1,0,0,2,0,0.11,0.11,0.21,0.11,0.21,9.5,1,19,5,26.3,2.0,0.53,0.05,0.2,0,0,16,853.0,53.0,24.9,9.5,8,80.0,5,8,26.0,0,2.19,22.0,12.0,10.0,1.06,0.88,9.5,2,0,0,7,12,0,11,3,8,,,0
Jaden Philogene Bidace,Aston Villa,ENG,"FW,MF",21,2002,ENG-Premier League,2324,1,0,4,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,0.0,0.0,,,0,0,1,4.0,4.0,0.1,0.0,0,,0,1,4.0,0,0.0,0.0,1.0,-1.0,-22.5,-22.92,0.0,0,0,0,0,0,0,0,0,0,,,0
John McGinn,Aston Villa,SCO,MF,28,1994,ENG-Premier League,2324,35,35,2999,33.3,6,4,10,6,0,0,9,1,0.18,0.12,0.3,0.18,0.3,33.3,6,40,16,40.0,1.2,0.48,0.15,0.38,0,0,35,2999.0,86.0,87.7,33.3,35,86.0,24,0,,0,1.83,68.0,52.0,16.0,0.48,0.69,33.3,9,1,0,39,69,2,77,20,34,,,0
Jáder Durán,Aston Villa,COL,FW,19,2003,ENG-Premier League,2324,23,3,475,5.3,5,0,5,5,0,0,5,0,0.95,0.0,0.95,0.95,0.95,5.3,5,20,7,35.0,3.79,1.33,0.25,0.71,0,0,23,475.0,21.0,13.9,5.3,3,68.0,1,20,14.0,5,1.74,15.0,12.0,3.0,0.57,0.2,5.3,5,0,0,12,8,4,6,1,5,,,0
Kaine Kesler-Hayden,Aston Villa,ENG,"DF,MF",20,2002,ENG-Premier League,2324,3,0,6,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.1,0,0,0,,0.0,0.0,,,0,0,3,6.0,2.0,0.2,0.1,0,,0,3,2.0,14,2.0,0.0,0.0,0.0,0.0,-0.4,0.1,0,0,0,0,0,0,0,0,0,,,0
Leander Dendoncker,Aston Villa,BEL,MF,28,1995,ENG-Premier League,2324,8,1,119,1.3,1,0,1,1,0,0,0,0,0.76,0.0,0.76,0.76,0.76,1.3,1,2,1,50.0,1.51,0.76,0.5,1.0,0,0,8,119.0,15.0,3.5,1.3,1,85.0,0,7,5.0,10,2.25,3.0,3.0,0.0,0.0,-0.41,1.3,0,0,0,1,1,0,0,2,4,,,0
Leon Bailey,Aston Villa,JAM,MF,25,1997,ENG-Premier League,2324,35,22,2068,23.0,10,9,19,10,0,0,5,0,0.44,0.39,0.83,0.44,0.83,23.0,10,53,18,34.0,2.31,0.78,0.19,0.56,0,0,35,2068.0,59.0,60.5,23.0,22,76.0,3,13,31.0,1,1.77,53.0,32.0,21.0,0.91,1.31,23.0,5,0,0,26,26,11,77,9,8,,,0
Lucas Digne,Aston Villa,FRA,DF,30,1993,ENG-Premier League,2324,33,27,2410,26.8,1,3,4,1,0,0,7,0,0.04,0.11,0.15,0.04,0.15,26.8,1,20,4,20.0,0.75,0.15,0.05,0.25,0,0,33,2410.0,73.0,70.5,26.8,27,85.0,18,6,19.0,0,1.76,54.0,41.0,13.0,0.49,0.31,26.8,7,0,0,30,29,2,151,25,21,,,0
Matty Cash,Aston Villa,POL,"DF,MF",25,1997,ENG-Premier League,2324,29,23,2142,23.8,2,2,4,2,0,0,8,0,0.08,0.08,0.17,0.08,0.17,23.8,2,33,13,39.4,1.39,0.55,0.06,0.15,0,0,29,2142.0,74.0,62.6,23.8,23,84.0,16,6,34.0,2,1.86,49.0,36.0,13.0,0.55,0.41,23.8,8,0,0,30,22,0,38,18,30,,,1
Morgan Rogers,Aston Villa,ENG,MF,21,2002,ENG-Premier League,2324,11,8,638,7.1,3,1,4,3,0,0,3,0,0.42,0.14,0.56,0.42,0.56,7.1,3,11,5,45.5,1.55,0.71,0.27,0.6,0,0,11,638.0,58.0,18.7,7.1,8,72.0,4,3,20.0,3,1.91,12.0,13.0,-1.0,-0.14,-0.66,7.1,3,0,0,12,9,0,2,3,1,,,0
Moussa Diaby,Aston Villa,FRA,"MF,FW",24,1999,ENG-Premier League,2324,38,25,2174,24.2,6,8,14,6,0,0,1,0,0.25,0.33,0.58,0.25,0.58,24.2,6,54,23,42.6,2.24,0.95,0.11,0.26,0,0,38,2174.0,57.0,63.6,24.2,25,75.0,4,13,23.0,0,1.79,41.0,40.0,1.0,0.04,-0.97,24.2,1,0,0,16,15,6,45,9,5,,,0
Nicolò Zaniolo,Aston Villa,ITA,"MF,FW",24,1999,ENG-Premier League,2324,25,9,839,9.3,2,0,2,2,0,0,7,0,0.21,0.0,0.21,0.21,0.21,9.3,2,27,10,37.0,2.9,1.07,0.07,0.2,0,0,25,839.0,34.0,24.5,9.3,9,61.0,0,16,18.0,5,1.6,17.0,13.0,4.0,0.43,0.05,9.3,7,0,0,24,21,0,18,1,9,,,0
Ollie Watkins,Aston Villa,ENG,FW,27,1995,ENG-Premier League,2324,37,37,3217,35.7,19,13,32,19,0,0,4,0,0.53,0.36,0.9,0.53,0.9,35.7,19,106,46,43.4,2.97,1.29,0.18,0.41,0,0,37,3217.0,87.0,94.1,35.7,37,87.0,27,0,,0,1.84,71.0,56.0,15.0,0.42,0.42,35.7,4,0,0,22,41,17,14,4,7,,,0
Omari Kellyman,Aston Villa,ENG,"FW,MF",17,2005,ENG-Premier League,2324,2,0,37,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.4,0,1,0,0.0,2.43,0.0,0.0,,0,0,2,37.0,19.0,1.1,0.4,0,,0,2,19.0,10,0.0,0.0,1.0,-1.0,-2.43,-2.86,0.4,0,0,0,0,0,0,0,0,0,,,0
Pau Torres,Aston Villa,ESP,DF,26,1997,ENG-Premier League,2324,29,27,2464,27.4,2,0,2,2,0,0,1,0,0.07,0.0,0.07,0.07,0.07,27.4,2,12,5,41.7,0.44,0.18,0.17,0.4,0,0,29,2464.0,85.0,72.0,27.4,27,88.0,25,2,45.0,5,2.07,57.0,37.0,20.0,0.73,1.2,27.4,1,0,0,17,10,2,8,11,16,,,0
Philippe Coutinho,Aston Villa,BRA,"FW,MF",31,1992,ENG-Premier League,2324,2,0,25,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.3,0,3,1,33.3,10.8,3.6,0.0,0.0,0,0,2,25.0,13.0,0.7,0.3,0,,0,2,13.0,0,1.5,1.0,1.0,0.0,0.0,-0.4,0.3,0,0,0,0,1,0,0,0,0,,,0
Tim Iroegbunam,Aston Villa,ENG,MF,20,2003,ENG-Premier League,2324,9,1,164,1.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.8,0,0,0,,0.0,0.0,,,0,0,9,164.0,18.0,4.8,1.8,1,62.0,0,8,13.0,16,1.44,2.0,7.0,-5.0,-2.74,-3.3,1.8,0,0,0,9,3,0,0,3,4,,,0
Tyrone Mings,Aston Villa,ENG,DF,30,1993,ENG-Premier League,2324,1,1,30,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.3,0,1,0,0.0,3.0,0.0,0.0,,0,0,1,30.0,30.0,0.9,0.3,1,30.0,0,0,,0,0.0,1.0,2.0,-1.0,-3.0,-3.42,0.3,0,0,0,0,0,0,0,1,0,,,0
Youri Tielemans,Aston Villa,BEL,"MF,FW",26,1997,ENG-Premier League,2324,32,17,1622,18.0,2,6,8,2,0,0,3,0,0.11,0.33,0.44,0.11,0.44,18.0,2,14,6,42.9,0.78,0.33,0.14,0.33,0,0,32,1622.0,51.0,47.4,18.0,17,77.0,6,15,21.0,0,1.91,40.0,27.0,13.0,0.72,0.62,18.0,3,0,0,22,29,0,31,14,21,,,0
Álex Moreno,Aston Villa,ESP,DF,30,1993,ENG-Premier League,2324,21,11,1031,11.5,2,0,2,2,0,0,2,0,0.17,0.0,0.17,0.17,0.17,11.5,2,8,4,50.0,0.7,0.35,0.25,0.5,0,0,21,1031.0,49.0,30.1,11.5,11,80.0,5,10,16.0,4,1.67,24.0,20.0,4.0,0.35,-0.07,11.5,2,0,0,11,16,2,37,11,12,,,1
Adam Smith,Bournemouth,ENG,DF,32,1991,ENG-Premier League,2324,28,25,2150,23.9,0,2,2,0,0,0,6,0,0.0,0.08,0.08,0.0,0.08,23.9,0,2,0,0.0,0.08,0.0,0.0,,0,0,28,2150.0,77.0,62.9,23.9,25,85.0,15,3,12.0,6,1.61,39.0,33.0,6.0,0.25,1.6,23.9,6,0,0,30,22,1,39,21,23,,,0
Alex Scott,Bournemouth,ENG,MF,19,2003,ENG-Premier League,2324,23,11,1014,11.3,1,1,2,1,0,0,3,0,0.09,0.09,0.18,0.09,0.18,11.3,1,15,4,26.7,1.33,0.36,0.07,0.25,0,0,23,1014.0,44.0,29.6,11.3,11,66.0,2,12,24.0,2,1.22,17.0,25.0,-8.0,-0.71,-0.52,11.3,3,0,0,19,25,1,36,11,16,,,0
Antoine Semenyo,Bournemouth,GHA,MF,23,2000,ENG-Premier League,2324,33,25,2105,23.4,8,2,10,8,0,0,6,0,0.34,0.09,0.43,0.34,0.43,23.4,8,70,31,44.3,2.99,1.33,0.11,0.26,0,0,33,2105.0,64.0,61.5,23.4,25,76.0,10,8,25.0,3,1.39,41.0,33.0,8.0,0.34,1.78,23.4,6,0,0,43,25,3,46,5,17,,,0
Chris Mepham,Bournemouth,WAL,DF,25,1997,ENG-Premier League,2324,10,6,617,6.9,0,1,1,0,0,0,2,0,0.0,0.15,0.15,0.0,0.15,6.9,0,1,1,100.0,0.15,0.15,0.0,0.0,0,0,10,617.0,62.0,18.0,6.9,6,83.0,5,4,31.0,14,1.6,13.0,16.0,-3.0,-0.44,-0.12,6.9,2,0,0,15,2,0,1,5,11,,,0
Dango Ouattara,Bournemouth,BFA,"DF,MF",21,2002,ENG-Premier League,2324,30,12,1229,13.7,1,2,3,1,0,0,3,0,0.07,0.15,0.22,0.07,0.22,13.7,1,30,7,23.3,2.2,0.51,0.03,0.14,0,0,30,1229.0,41.0,35.9,13.7,12,74.0,4,18,19.0,2,1.4,20.0,24.0,-4.0,-0.29,0.08,13.7,3,0,0,15,17,4,37,21,26,,,0
David Brooks,Bournemouth,WAL,MF,26,1997,ENG-Premier League,2324,13,2,282,3.1,1,1,2,1,0,0,1,0,0.32,0.32,0.64,0.32,0.64,3.1,1,13,5,38.5,4.15,1.6,0.08,0.2,0,0,13,282.0,22.0,8.2,3.1,2,65.0,0,11,14.0,7,0.92,5.0,7.0,-2.0,-0.64,-0.32,3.1,1,0,0,6,1,1,15,2,4,,,0
Dominic Sadi,Bournemouth,ENG,MF,19,2003,ENG-Premier League,2324,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,0.0,0.0,,,0,0,1,1.0,1.0,0.0,0.0,0,,0,1,1.0,4,3.0,0.0,0.0,0.0,0.0,0.34,0.0,0,0,0,0,0,0,0,0,0,,,0
Dominic Solanke,Bournemouth,ENG,FW,25,1997,ENG-Premier League,2324,38,37,3325,36.9,19,3,22,17,2,3,3,0,0.51,0.08,0.6,0.46,0.54,36.9,19,109,38,34.9,2.95,1.03,0.16,0.45,2,3,38,3325.0,88.0,97.2,36.9,37,89.0,28,1,32.0,0,1.26,51.0,61.0,-10.0,-0.27,2.57,36.9,3,0,0,41,45,16,6,7,9,,,0
Enes Ünal,Bournemouth,TUR,FW,26,1997,ENG-Premier League,2324,16,2,328,3.6,2,2,4,2,0,0,1,0,0.55,0.55,1.1,0.55,1.1,3.6,2,23,11,47.8,6.31,3.02,0.09,0.18,0,0,16,328.0,21.0,9.6,3.6,2,67.0,0,14,14.0,0,1.31,11.0,9.0,2.0,0.55,0.99,3.6,1,0,0,10,9,6,3,1,4,,,0
Hamed Junior Traorè,Bournemouth,CIV,MF,23,2000,ENG-Premier League,2324,3,0,47,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.5,0,3,2,66.7,5.74,3.83,0.0,0.0,0,0,3,47.0,16.0,1.4,0.5,0,,0,3,16.0,7,0.0,0.0,1.0,-1.0,-1.91,-1.59,0.5,0,0,0,0,0,0,3,0,0,,,0
Illia Zabarnyi,Bournemouth,UKR,DF,20,2002,ENG-Premier League,2324,37,37,3330,37.0,1,0,1,1,0,0,5,0,0.03,0.0,0.03,0.03,0.03,37.0,1,8,3,37.5,0.22,0.08,0.13,0.33,0,0,37,3330.0,90.0,97.4,37.0,37,90.0,37,0,,0,1.22,51.0,67.0,-16.0,-0.43,-3.43,37.0,5,0,0,24,24,0,1,31,31,,,0
Jaidon Anthony,Bournemouth,ENG,MF,23,1999,ENG-Premier League,2324,3,2,152,1.7,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,1.7,0,2,1,50.0,1.18,0.59,0.0,0.0,0,0,3,152.0,51.0,4.4,1.7,2,61.0,0,1,31.0,0,0.33,1.0,5.0,-4.0,-2.37,-2.12,1.7,1,0,0,4,2,2,2,0,1,,,0
James Hill,Bournemouth,ENG,DF,21,2002,ENG-Premier League,2324,5,1,76,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.8,0,0,0,,0.0,0.0,,,0,0,5,76.0,15.0,2.2,0.8,1,54.0,0,4,6.0,10,2.0,1.0,1.0,0.0,0.0,0.35,0.8,0,0,0,1,0,0,0,3,2,,,0
Joe Rothwell,Bournemouth,ENG,MF,28,1995,ENG-Premier League,2324,11,3,386,4.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,4.3,0,2,0,0.0,0.47,0.0,0.0,,0,0,11,386.0,35.0,11.3,4.3,3,70.0,1,8,22.0,8,1.18,4.0,12.0,-8.0,-1.87,-1.72,4.3,0,0,0,4,2,0,13,2,2,,,0
Justin Kluivert,Bournemouth,NED,MF,24,1999,ENG-Premier League,2324,32,26,1916,21.3,7,1,8,7,0,0,5,0,0.33,0.05,0.38,0.33,0.38,21.3,7,56,20,35.7,2.63,0.94,0.13,0.35,0,0,32,1916.0,60.0,56.0,21.3,26,68.0,0,6,24.0,6,1.22,29.0,23.0,6.0,0.28,1.42,21.3,5,0,0,52,28,5,28,7,17,,,0
Kieffer Moore,Bournemouth,WAL,"DF,FW",30,1992,ENG-Premier League,2324,8,0,108,1.2,1,0,1,1,0,0,0,0,0.83,0.0,0.83,0.83,0.83,1.2,1,6,2,33.3,5.0,1.67,0.17,0.5,0,0,8,108.0,14.0,3.2,1.2,0,,0,8,14.0,8,0.88,3.0,2.0,1.0,0.83,1.21,1.2,0,0,0,5,2,0,2,0,0,,,0
Lewis Cook,Bournemouth,ENG,MF,26,1997,ENG-Premier League,2324,33,32,2786,31.0,0,3,3,0,0,0,5,1,0.0,0.1,0.1,0.0,0.1,31.0,0,12,4,33.3,0.39,0.13,0.0,0.0,0,0,33,2786.0,84.0,81.5,31.0,32,86.0,26,1,45.0,0,1.24,43.0,50.0,-7.0,-0.23,0.63,31.0,5,1,0,39,16,2,133,67,42,,,0
Lloyd Kelly,Bournemouth,ENG,DF,24,1998,ENG-Premier League,2324,23,17,1559,17.3,0,1,1,0,0,0,2,0,0.0,0.06,0.06,0.0,0.06,17.3,0,4,1,25.0,0.23,0.06,0.0,0.0,0,0,23,1559.0,68.0,45.6,17.3,17,83.0,12,6,25.0,0,1.13,22.0,32.0,-10.0,-0.58,-0.43,17.3,2,0,0,17,13,0,21,13,20,,,0
Luis Sinisterra,Bournemouth,COL,MF,24,1999,ENG-Premier League,2324,20,7,699,7.8,2,2,4,2,0,0,0,0,0.26,0.26,0.52,0.26,0.52,7.8,2,27,9,33.3,3.48,1.16,0.07,0.22,0,0,20,699.0,35.0,20.4,7.8,7,59.0,0,13,22.0,4,1.35,12.0,18.0,-6.0,-0.77,-0.54,7.8,0,0,0,12,6,4,11,8,12,,,0
Marcos Senesi,Bournemouth,ARG,DF,26,1997,ENG-Premier League,2324,31,26,2242,24.9,4,5,9,4,0,0,13,0,0.16,0.2,0.36,0.16,0.36,24.9,4,13,4,30.8,0.52,0.16,0.31,1.0,0,0,31,2242.0,72.0,65.6,24.9,26,83.0,17,5,16.0,1,1.13,37.0,44.0,-7.0,-0.28,0.18,24.9,13,0,0,41,11,0,25,33,35,,,0
Marcus Tavernier,Bournemouth,ENG,MF,24,1999,ENG-Premier League,2324,30,25,2118,23.5,3,4,7,3,0,0,3,0,0.13,0.17,0.3,0.13,0.3,23.5,3,53,16,30.2,2.25,0.68,0.06,0.19,0,0,30,2118.0,71.0,61.9,23.5,25,78.0,7,5,33.0,0,1.33,37.0,38.0,-1.0,-0.04,0.79,23.5,3,0,0,21,22,3,116,4,33,,,0
Max Aarons,Bournemouth,ENG,DF,23,2000,ENG-Premier League,2324,20,13,1237,13.7,0,1,1,0,0,0,1,0,0.0,0.07,0.07,0.0,0.07,13.7,0,2,0,0.0,0.15,0.0,0.0,,0,0,20,1237.0,62.0,36.2,13.7,13,85.0,9,7,19.0,5,0.8,12.0,35.0,-23.0,-1.67,-2.09,13.7,1,0,0,12,26,2,14,8,19,,,0
Milos Kerkez,Bournemouth,HUN,DF,19,2003,ENG-Premier League,2324,28,22,1970,21.9,0,1,1,0,0,0,4,1,0.0,0.05,0.05,0.0,0.05,21.9,0,16,5,31.3,0.73,0.23,0.0,0.0,0,0,28,1970.0,70.0,57.6,21.9,22,83.0,11,6,25.0,3,1.14,25.0,37.0,-12.0,-0.55,-0.49,21.9,4,1,0,24,21,1,57,16,25,,,1
